ID	incorr_sentence	corr_sentence	word count	wrong1	correct1	wrong2	correct2	wrong3	correct3	wrong4	correct4	wrong5	correct5	wrong6	correct6	src
97	For sample, if you rescued a swimmer who almost drowned and lost consciousness, give a rundown on the procedure for administering CPR.	For example, if you rescued a swimmer who almost drowned and lost consciousness, give a rundown on the procedure for administering CPR.	22	Wci	1,2|||example											https://www.resumeok.com/lifeguard-resume-sample/
98	The issue is highly debatable, a genetic risk could come from either side of the family.	The issue is highly debatable . A genetic risk could come from either side of the family.	17	Srun	4,7|||debatable . A											https://www.comp.nus.edu.sg/~nlp/conll14st/CoNLLST01.pdf
99	The most important thing is, to be honesty!	The most important thing is, to be honest!	8	Wform	8,9|||honest											https://www.resumeok.com/lifeguard-resume-sample/
100	Managerial experience tells the resort or hotel owner you have other capacities other carrying ot rescue operations and administering First Aid. 	Managerial experience tells the resort or hotel owner that you have other capacities other than carrying out rescue operations and administering First Aid. 	23	Ssub	8,8|||that	Wci	13,13|||than	Mec	14,15|||out							https://www.resumeok.com/lifeguard-resume-sample/
101	Maybe you can swim like a dolphin, but if you had to carry a 220-pound hotel guest?	Maybe you can swim like a dolphin, but what if you had to carry a 220-pound hotel guest?	18	Wci	9,9|||what											https://www.resumeok.com/lifeguard-resume-sample/
102	She always on the move.	She is always on the move.	6	V0	1,1|||is											https://www.resumeok.com/flight-attendant-resume-sample/
103	What types of skills or achievements should you highlight in your Lifeguard resume?	What types of skills or achievements should you highlight in your Lifeguard resume?	13													https://www.resumeok.com/lifeguard-resume-sample/
104	While most of us dream of seeing Paris, London, Rome and other places that would end up in anyone’s bucket list, Flight Attendants do it all the time.	While most of us dream of seeing Paris, London, Rome and other places that would end up in anyone’s bucket list, Flight Attendants do it all the time.	28													https://www.resumeok.com/flight-attendant-resume-sample/
105	This is a prerequisite to receive certification from the Federal Aviation Administration or FAA. 	This is a prerequisite to receive certification from the Federal Aviation Administration or FAA. 	14													https://www.resumeok.com/flight-attendant-resume-sample/
106	If you are already certified by the FAA, place this front and center in your resume objective.	If you are already certified by the FAA, place this front and center in your resume objective.	17													https://www.resumeok.com/flight-attendant-resume-sample/
107	Make it brief and concise.	Make it brief and concise.	5													https://www.resumeok.com/assembler-resume-sample/
108	You must make the effort to find out what the specific skills your target employer is looking for, then dig deep and find a success story that aligns with those needs.	You must make the effort to find out what the specific skills your target employer is looking for, then dig deep and find a success story that aligns with those needs.	31													https://jobdescriptionsandduties.com/career-advice/resume-cover-letter-format/resume-cover-letter-format-write-better-cover-letters/
109	 A high school diploma and training in food or restaurant management represent the common experience in most of the successful samples.	 A high school diploma and training in food or restaurant management represent the common experience in most of the successful samples.	21													https://www.qwikresume.com/resume-samples/food-and-beverage-attendant/
110	Going for a biochemist interview does not mean you have to wear your favorite lab gown.	Going for a biochemist interview does not mean you have to wear your favorite lab gown.	16													https://www.resumeok.com/biochemist-resume-samples/
111	What are the steps involved in performing rapid DNA analysis?	What are the steps involved in performing rapid DNA analysis?	10													https://www.resumeok.com/biochemist-resume-samples/
112	I was praised for my ability to collaborate with teachers to integrate complimentary library skills into creative lessons relative to student interest, still meeting curriculum standards.	I was praised for my ability to collaborate with teachers to integrate complimentary library skills into creative lessons relative to student interest, still meeting curriculum standards.	26													http://emilygibson.weebly.com/cover-letter.html
113	Music is not just part of my profession it is a part of me.	Music is not just part of my profession it is a part of me.	14													https://www.bestsampleresume.com/resume-cover-letters/teacher/music-teacher-cover-letter.html
114																
115																
116																
117																
118																
119																
120																
121																
122																
123																
124																
125																
126																
127																
128																
129																
130																
131																
132																
133																
134																
135																
136																
137																
138																
139																
140																
141																
142																
143																
144																
145																
146																
147																
148																
149																
150																
151																
152																
153																
154																
155																
156																
157																
158																
159																
160																
161																
162																
163																
